Turned OFF
         213968 function calls (208766 primitive calls) in 4.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    0.001    0.000    0.001    0.000 _virtualenv.py:52(find_spec)
       13    0.000    0.000    0.001    0.000 __init__.py:2074(getLogger)
        3    0.000    0.000    0.001    0.000 exceptions.py:1()
       42    0.001    0.000    0.001    0.000 typing.py:334(_remove_dups_flatten)
      399    0.001    0.000    0.001    0.000 socket.py:93()
        1    0.000    0.000    0.001    0.001 _adapters.py:1()
       51    0.000    0.000    0.001    0.000 typing.py:1591()
        1    0.000    0.000    0.001    0.001 argparse.py:1918(_parse_known_args)
      397    0.001    0.000    0.001    0.000 socket.py:83()
      472    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      389    0.001    0.000    0.001    0.000 {method 'items' of 'google._upb._message._ByNameMap' objects}
        1    0.000    0.000    0.001    0.001 contextvars.py:1()
     1297    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      396    0.001    0.000    0.001    0.000 socket.py:78()
      297    0.001    0.000    0.001    0.000 enum.py:1507(_get_value)
      134    0.001    0.000    0.001    0.000 _compiler.py:398(_simple)
      972    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      398    0.001    0.000    0.001    0.000 socket.py:88()
     1670    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      506    0.001    0.000    0.001    0.000 _parser.py:176(append)
  187/176    0.001    0.000    0.001    0.000 builder.py:34(BuildNestedDescriptors)
      187    0.001    0.000    0.001    0.000 symbol_database.py:54(RegisterMessage)
        1    0.000    0.000    0.001    0.001 x25519.py:62(generate)
     1915    0.001    0.000    0.001    0.000 inspect.py:2734(kind)
       17    0.001    0.000    0.001    0.000 functools.py:518(decorating_function)
     1256    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 esphome-lights.py:44(load_devices)
       92    0.001    0.000    0.001    0.000 ipaddress.py:1213(_parse_octet)
       28    0.000    0.000    0.001    0.000 object_id.py:40(sanitize)
        1    0.000    0.000    0.001    0.001 type_checkers.py:1()
       13    0.000    0.000    0.001    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.001    0.001 timeouts.py:26(Timeout)
     1294    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.001    0.001    0.001    0.001 {built-in method x25519.generate_key}
        1    0.000    0.000    0.001    0.001 cipher.py:1()
        2    0.000    0.000    0.001    0.001 argparse.py:1986(consume_optional)
        2    0.000    0.000    0.001    0.001 base_events.py:565(shutdown_default_executor)
        1    0.000    0.000    0.001    0.001 runners.py:58(__enter__)
      662    0.001    0.000    0.001    0.000 dataclasses.py:654(_is_initvar)
        2    0.000    0.000    0.001    0.001 runners.py:131(_lazy_init)
       10    0.000    0.000    0.001    0.000 typing.py:1040(__init__)
        1    0.000    0.000    0.001    0.001 runtime_version.py:1()
        2    0.000    0.000    0.001    0.001 sysconfig.py:185(_safe_realpath)
        1    0.000    0.000    0.001    0.001 selector_events.py:1()
      385    0.001    0.000    0.001    0.000 object_id.py:37()
        2    0.000    0.000    0.001    0.000 :412(realpath)
       95    0.001    0.000    0.001    0.000 dataclasses.py:548()
      122    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      643    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
        1    0.000    0.000    0.001    0.001 events.py:808(new_event_loop)
      603    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       35    0.001    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
       27    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 builder.py:1()
      240    0.001    0.000    0.001    0.000 types.py:164(__init__)
      433    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.001    0.001 containers.py:103(RepeatedScalarFieldContainer)
      3/2    0.000    0.000    0.001    0.000 :421(_joinrealpath)
        2    0.000    0.000    0.001    0.000 client.py:304(disconnect)
      116    0.000    0.000    0.001    0.000 model.py:38(convert)
       43    0.000    0.000    0.001    0.000 :164(_path_isdir)
        2    0.000    0.000    0.001    0.000 argparse.py:2205(_match_argument)
      106    0.001    0.000    0.001    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.001    0.001 model.py:942(MediaPlayerEntityFeature)
        1    0.000    0.000    0.001    0.001 calendar.py:1()
        2    0.000    0.000    0.001    0.000 impl.py:15(start_connection)
       54    0.000    0.000    0.001    0.000 :859(__iter__)
      191    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      663    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.001    0.000 model.py:87()
       10    0.000    0.000    0.001    0.000 shutil.py:1426(get_terminal_size)
        6    0.000    0.000    0.001    0.000 typing.py:866(__init__)
        1    0.001    0.001    0.001    0.001 sysconfig.py:253(_extend_dict)
        1    0.000    0.000    0.001    0.001 events.py:693(new_event_loop)
        1    0.000    0.000    0.001    0.001 tasks.py:1()
        1    0.000    0.000    0.001    0.001 unix_events.py:63(__init__)
        2    0.000    0.000    0.001    0.000 impl.py:157(_connect_sock)
       93    0.001    0.000    0.001    0.000 inspect.py:2426(_descriptor_get)
       93    0.001    0.000    0.001    0.000 _parser.py:376(_escape)
        1    0.000    0.000    0.001    0.001 selector_events.py:49(__init__)
        1    0.000    0.000    0.001    0.001 client.py:257(start_resolve_host)
      739    0.001    0.000    0.001    0.000 dataclasses.py:1250()
        3    0.000    0.000    0.001    0.000 typing.py:1641(__getitem__)
       51    0.001    0.000    0.001    0.000 enum.py:1193(__repr__)
        2    0.000    0.000    0.001    0.000 asyncio.py:1()
      385    0.001    0.000    0.001    0.000 object_id.py:42()
        1    0.000    0.000    0.001    0.001 message_listener.py:1()
        1    0.000    0.000    0.001    0.001 queues.py:1()
       93    0.001    0.000    0.001    0.000 dataclasses.py:846()
        1    0.000    0.000    0.001    0.001 raw_unicode_escape.py:1()
     1362    0.001    0.000    0.001    0.000 inspect.py:2722(name)
       95    0.001    0.000    0.001    0.000 dataclasses.py:1043()
        1    0.000    0.000    0.001    0.001 connection.py:23(NoiseConnection)
       80    0.000    0.000    0.001    0.000 _parser.py:453(_uniq)
       74    0.001    0.000    0.001    0.000 enum.py:360(__init__)
        5    0.000    0.000    0.001    0.000 enum.py:1514(__or__)
      782    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
        6    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        3    0.001    0.000    0.001    0.000 weakref.py:104(__init__)
        2    0.000    0.000    0.001    0.000 selector_events.py:618(sock_connect)
        1    0.000    0.000    0.001    0.001 streams.py:1()
      295    0.001    0.000    0.001    0.000 :165(__init__)
        3    0.000    0.000    0.001    0.000 typing.py:1655(__getitem_inner__)
        5    0.000    0.000    0.001    0.000 hash.py:25(hkdf)
      222    0.001    0.000    0.001    0.000 :1097(__init__)
       93    0.000    0.000    0.001    0.000 inspect.py:2075(_signature_is_functionlike)
        1    0.000    0.000    0.001    0.001 _adapters.py:42(CompatibilityFiles)
       66    0.000    0.000    0.001    0.000 _parser.py:316(_class_escape)
       47    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
       56    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
      790    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
    58/44    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      299    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
       95    0.001    0.000    0.001    0.000 dataclasses.py:1017()
        1    0.000    0.000    0.001    0.001 model.py:1806(VoiceAssistantEventType)
       68    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.001    0.001 base_subprocess.py:1()
      662    0.001    0.000    0.001    0.000 dataclasses.py:660(_is_kw_only)
        5    0.000    0.000    0.001    0.000 transports.py:116(writelines)
      372    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      128    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      651    0.001    0.000    0.001    0.000 dataclasses.py:396()
      123    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       96    0.001    0.000    0.001    0.000 dataclasses.py:346(__init__)
        3    0.000    0.000    0.001    0.000 state.py:127(mix_key)
       12    0.000    0.000    0.001    0.000 datetime.py:592(__new__)
       34    0.000    0.000    0.001    0.000 typing.py:1679()
       95    0.001    0.000    0.001    0.000 dataclasses.py:592()
        1    0.000    0.000    0.001    0.001 subprocess.py:1282(_close_pipe_fds)
       10    0.000    0.000    0.001    0.000 typing.py:966(__init__)
      651    0.001    0.000    0.001    0.000 dataclasses.py:1106()
       15    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _legacy.py:1()
       16    0.000    0.000    0.001    0.000 hashes.py:76(hmac_hash)
       20    0.000    0.000    0.001    0.000 base_events.py:752(call_soon)
      135    0.000    0.000    0.001    0.000 :756(encode)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        5    0.000    0.000    0.001    0.000 selector_events.py:1041(write)
        2    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.001    0.001 _exceptions.py:1()
        1    0.000    0.000    0.001    0.001 containers.py:333(ScalarMap)
        1    0.000    0.000    0.001    0.001 _endian.py:1()
       11    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
      187    0.000    0.000    0.001    0.000 symbol_database.py:72(RegisterMessageDescriptor)
        1    0.000    0.000    0.001    0.001 model.py:427(ColorMode)
        1    0.001    0.001    0.001    0.001 base_events.py:388(BaseEventLoop)
       88    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
      222    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 selector_events.py:59(_make_socket_transport)
        1    0.000    0.000    0.001    0.001 model.py:980(MediaPlayerCommand)
       21    0.000    0.000    0.001    0.000 :771(get)
      240    0.001    0.000    0.001    0.000 enum.py:229(__set_name__)
        3    0.000    0.000    0.001    0.000 typing.py:1636(copy_with)
      803    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 selector_events.py:925(__init__)
       95    0.000    0.000    0.000    0.000 :146(update_abstractmethods)
       10    0.000    0.000    0.000    0.000 typing.py:1877(__init_subclass__)
      279    0.000    0.000    0.000    0.000 inspect.py:292(isclass)
        1    0.000    0.000    0.000    0.000 transports.py:1()
      250    0.000    0.000    0.000    0.000 typing.py:1388(__eq__)
    79/67    0.000    0.000    0.000    0.000 typing.py:1394(__hash__)
       27    0.000    0.000    0.000    0.000 _compiler.py:388()
       95    0.000    0.000    0.000    0.000 dataclasses.py:1052()
      569    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 rsa.py:1()
        1    0.000    0.000    0.000    0.000 containers.py:215(RepeatedCompositeFieldContainer)
        2    0.000    0.000    0.000    0.000 sysconfig.py:109(_getuserbase)
        1    0.000    0.000    0.000    0.000 diffie_hellmans.py:25(dh)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1()
        6    0.000    0.000    0.000    0.000 state.py:142(mix_hash)
       74    0.000    0.000    0.000    0.000 enum.py:965(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 selector_events.py:643(_sock_connect)
        1    0.000    0.000    0.000    0.000 futures.py:1()
        1    0.000    0.000    0.000    0.000 _shared.py:30(Adapter)
        2    0.000    0.000    0.000    0.000 contextlib.py:521(callback)
        3    0.000    0.000    0.000    0.000 gettext.py:616(gettext)
      357    0.000    0.000    0.000    0.000 object_id.py:18(_to_snake_case_char)
      311    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
       27    0.000    0.000    0.000    0.000 :71(join)
        1    0.000    0.000    0.000    0.000 unix_events.py:67(close)
      505    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ble_defs.py:6(BLEConnectionError)
        9    0.000    0.000    0.000    0.000 :716(setdefault)
        3    0.000    0.000    0.000    0.000 gettext.py:578(dgettext)
        1    0.000    0.000    0.000    0.000 host_resolver.py:201(async_resolve_host)
       42    0.000    0.000    0.000    0.000 typing.py:306(_deduplicate)
       95    0.000    0.000    0.000    0.000 dataclasses.py:1046()
        2    0.000    0.000    0.000    0.000 selector_events.py:265(_add_reader)
        1    0.000    0.000    0.000    0.000 ed25519.py:1()
        1    0.000    0.000    0.000    0.000 thread.py:1()
        1    0.000    0.000    0.000    0.000 _logger.py:1()
        1    0.000    0.000    0.000    0.000 model.py:1063(AlarmControlPanelState)
        5    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 _sysconfigdata__linux_aarch64-linux-gnu.py:1()
        1    0.000    0.000    0.000    0.000 raw_unicode_escape.py:20(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 message.py:1()
      715    0.000    0.000    0.000    0.000 inspect.py:2726(default)
        1    0.000    0.000    0.000    0.000 selector_events.py:86(close)
        3    0.000    0.000    0.000    0.000 gettext.py:519(translation)
        1    0.000    0.000    0.000    0.000 {method 'exchange' of 'cryptography.hazmat.bindings._rust.openssl.x25519.X25519PrivateKey' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       20    0.000    0.000    0.000    0.000 base_events.py:781(_call_soon)
      624    0.000    0.000    0.000    0.000 dataclasses.py:1159()
        1    0.000    0.000    0.000    0.000 model.py:1795(LogLevel)
      207    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       10    0.000    0.000    0.000    0.000 argparse.py:1853(_add_action)
        7    0.000    0.000    0.000    0.000 selectors.py:180(get_key)
        1    0.000    0.000    0.000    0.000 model.py:1122(WaterHeaterCommandField)
        1    0.000    0.000    0.000    0.000 x448.py:1()
        1    0.000    0.000    0.000    0.000 connection.py:32(from_name)
        2    0.000    0.000    0.000    0.000 typing.py:1830(__class_getitem__)
        1    0.000    0.000    0.000    0.000 selector_events.py:105(_make_self_pipe)
        1    0.000    0.000    0.000    0.000 ssh.py:451(_SSHFormatECDSA)
        1    0.000    0.000    0.000    0.000 _compression.py:1()
        2    0.000    0.000    0.000    0.000 __init__.py:342(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.000    0.000 model.py:626(ClimateFanMode)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 :44(_get_exports_list)
       93    0.000    0.000    0.000    0.000 inspect.py:310(ismethoddescriptor)
        1    0.000    0.000    0.000    0.000 windows_tz.py:1()
       29    0.000    0.000    0.000    0.000 events.py:35(__init__)
      232    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      195    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
        1    0.000    0.000    0.000    0.000 modes.py:172(CFB)
        1    0.000    0.000    0.000    0.000 zeroconf.py:1()
        6    0.000    0.000    0.000    0.000 base_events.py:734(call_at)
   152/96    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 model.py:1306(UserServiceArgType)
       10    0.000    0.000    0.000    0.000 argparse.py:1674(_add_action)
      112    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
        3    0.000    0.000    0.000    0.000 gettext.py:479(find)
        1    0.000    0.000    0.000    0.000 object_id.py:1()
        1    0.000    0.000    0.000    0.000 unicode_escape.py:1()
       77    0.000    0.000    0.000    0.000 signal.py:9()
        1    0.000    0.000    0.000    0.000 noise_protocol.py:14(__init__)
       36    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 constants.py:35(_SendfileMode)
        2    0.000    0.000    0.000    0.000 sysconfig.py:118(joinuser)
        1    0.000    0.000    0.000    0.000 well_known_types.py:79(Timestamp)
        1    0.000    0.000    0.000    0.000 noise_protocol.py:1()
        1    0.000    0.000    0.000    0.000 model.py:655(ClimatePreset)
       33    0.000    0.000    0.000    0.000 :117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 datetime.py:1219(tzinfo)
        1    0.000    0.000    0.000    0.000 model.py:1657(BluetoothDeviceRequestType)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       20    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 model.py:105(BluetoothProxyFeature)
      353    0.000    0.000    0.000    0.000 enum.py:239(__init__)
        1    0.000    0.000    0.000    0.000 state.py:1()
       93    0.000    0.000    0.000    0.000 inspect.py:505(isbuiltin)
        1    0.000    0.000    0.000    0.000 model.py:1076(AlarmControlPanelCommand)
        1    0.000    0.000    0.000    0.000 text_encoding.py:14(_MakeStrEscapes)
       25    0.000    0.000    0.000    0.000 selector_events.py:737(_process_events)
        1    0.000    0.000    0.000    0.000 mixins.py:1()
        1    0.000    0.000    0.000    0.000 patterns.py:6(Pattern)
        1    0.000    0.000    0.000    0.000 model.py:115(ClimateFeature)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       59    0.000    0.000    0.000    0.000 typing.py:1695(__hash__)
        1    0.000    0.000    0.000    0.000 model.py:1102(WaterHeaterMode)
        8    0.000    0.000    0.000    0.000 sysconfig.py:244(_subst_vars)
        1    0.000    0.000    0.000    0.000 model.py:616(ClimateMode)
        1    0.000    0.000    0.000    0.000 model.py:418(LightColorCapability)
        2    0.000    0.000    0.000    0.000 threading.py:856(__init__)
        1    0.000    0.000    0.000    0.000 _shared.py:74(IP)
      522    0.000    0.000    0.000    0.000 :71(_relax_case)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 client.py:1227(switch_command)
        1    0.000    0.000    0.000    0.000 protocols.py:1()
      168    0.000    0.000    0.000    0.000 enum.py:918()
      459    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       95    0.000    0.000    0.000    0.000 dataclasses.py:397()
      357    0.000    0.000    0.000    0.000 object_id.py:27(_to_sanitized_char)
        1    0.000    0.000    0.000    0.000 futures.py:381(_set_state)
      511    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 model.py:970(MediaPlayerState)
       10    0.000    0.000    0.000    0.000 argparse.py:604(_format_args)
       13    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:652()
        1    0.000    0.000    0.000    0.000 base_tasks.py:1()
      320    0.000    0.000    0.000    0.000 :1568()
       10    0.000    0.000    0.000    0.000 argparse.py:1485(_add_action)
       47    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      139    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 model.py:885(LockState)
        1    0.000    0.000    0.000    0.000 text_encoding.py:31()
        4    0.000    0.000    0.000    0.000 typing.py:2071(__init_subclass__)
        1    0.000    0.000    0.000    0.000 reconnect_logic.py:36(ReconnectLogicState)
       94    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 subprocess.py:1092(__exit__)
        1    0.000    0.000    0.000    0.000 _serialization.py:21(Encoding)
      119    0.000    0.000    0.000    0.000 :760(decode)
        5    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 selector_events.py:768(__init__)
        1    0.000    0.000    0.000    0.000 taskgroups.py:1()
        1    0.000    0.000    0.000    0.000 selector_events.py:914(_add_reader)
        1    0.000    0.000    0.000    0.000 selector_events.py:856(close)
      128    0.000    0.000    0.000    0.000 ssl.py:145()
       88    0.000    0.000    0.000    0.000 dataclasses.py:565()
      177    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        1    0.000    0.000    0.000    0.000 model.py:128(VoiceAssistantFeature)
        1    0.000    0.000    0.000    0.000 _serialization.py:46(PublicFormat)
        1    0.000    0.000    0.000    0.000 _serialization.py:30(PrivateFormat)
       12    0.000    0.000    0.000    0.000 :778(__contains__)
        1    0.000    0.000    0.000    0.000 model.py:1112(WaterHeaterFeature)
        1    0.000    0.000    0.000    0.000 model.py:1667(BluetoothScannerState)
      369    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       12    0.000    0.000    0.000    0.000 utils.py:99(deprecated)
        1    0.000    0.000    0.000    0.000 timeouts.py:18(_State)
        7    0.000    0.000    0.000    0.000 selectors.py:69(__getitem__)
      128    0.000    0.000    0.000    0.000 ssl.py:125()
       10    0.000    0.000    0.000    0.000 argparse.py:1565(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 model_conversions.py:1()
        1    0.000    0.000    0.000    0.000 model.py:666(ClimateInfo)
        1    0.000    0.000    0.000    0.000 keypairs.py:17(from_public_bytes)
        1    0.000    0.000    0.000    0.000 model.py:546(SensorStateClass)
        1    0.000    0.000    0.000    0.000 model.py:646(ClimateAction)
        1    0.000    0.000    0.000    0.000 sslproto.py:23(SSLProtocolState)
      458    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       10    0.000    0.000    0.000    0.000 enum.py:1367(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 model.py:735(ClimateState)
      281    0.000    0.000    0.000    0.000 :413(has_location)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       47    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
      128    0.000    0.000    0.000    0.000 ssl.py:150()
       10    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
      128    0.000    0.000    0.000    0.000 ssl.py:135()
        1    0.000    0.000    0.000    0.000 connection.py:12(Keypair)
        3    0.000    0.000    0.000    0.000 __init__.py:503(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 subprocess.py:1688(_get_handles)
      587    0.000    0.000    0.000    0.000 enum.py:1151(__init__)
       47    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      128    0.000    0.000    0.000    0.000 ssl.py:140()
        2    0.000    0.000    0.000    0.000 argparse.py:1475(add_argument_group)
        1    0.000    0.000    0.000    0.000 extension_dict.py:1()
      174    0.000    0.000    0.000    0.000 :7(abstractmethod)
      254    0.000    0.000    0.000    0.000 :315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 dh.py:1()
        1    0.000    0.000    0.000    0.000 futures.py:345(_copy_future_state)
      128    0.000    0.000    0.000    0.000 ssl.py:130()
      142    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 descriptor_database.py:1()
        3    0.000    0.000    0.000    0.000 selectors.py:351(register)
       10    0.000    0.000    0.000    0.000 :229(expanduser)
        2    0.000    0.000    0.000    0.000 selector_events.py:281(_remove_reader)
        1    0.000    0.000    0.000    0.000 keypair.py:1()
        1    0.000    0.000    0.000    0.000 base_events.py:390(__init__)
       43    0.000    0.000    0.000    0.000 enum.py:193(__get__)
        3    0.000    0.000    0.000    0.000 base_events.py:430(create_task)
       40    0.000    0.000    0.000    0.000 base_events.py:701(time)
       54    0.000    0.000    0.000    0.000 :697(__iter__)
        4    0.000    0.000    0.000    0.000 socket.py:499(close)
      261    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 state.py:188(split)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        8    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 locks.py:439(_BarrierState)
        4    0.000    0.000    0.000    0.000 ssl.py:461(__new__)
        1    0.000    0.000    0.000    0.000 selector_events.py:302(_add_writer)
        1    0.000    0.000    0.000    0.000 model.py:925(ValveOperation)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        3    0.000    0.000    0.000    0.000 runtime_version.py:53(ValidateProtobufRuntimeVersion)
        2    0.000    0.000    0.000    0.000 argparse.py:1652(__init__)
        1    0.000    0.000    0.000    0.000 thread.py:123(__init__)
        2    0.000    0.000    0.000    0.000 selector_events.py:116(_read_from_self)
        4    0.000    0.000    0.000    0.000 :773(getenv)
        1    0.000    0.000    0.000    0.000 :48()
      187    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 cpp_message.py:1()
      240    0.000    0.000    0.000    0.000 typing.py:1381()
        7    0.000    0.000    0.000    0.000 {method 'finalize' of 'cryptography.hazmat.bindings._rust.openssl.hashes.Hash' objects}
        1    0.000    0.000    0.000    0.000 model.py:511(LightState)
        1    0.000    0.000    0.000    0.000 containers.py:44(BaseContainer)
        3    0.000    0.000    0.000    0.000 tasks.py:654(ensure_future)
        1    0.000    0.000    0.000    0.000 model.py:1317(SupportsResponseType)
        2    0.000    0.000    0.000    0.000 selector_events.py:318(_remove_writer)
        1    0.000    0.000    0.000    0.000 abc.py:131(TraversableResources)
      122    0.000    0.000    0.000    0.000 enum.py:798()
       14    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 model.py:777(NumberMode)
        4    0.000    0.000    0.000    0.000 util.py:69(build_log_name)
        1    0.000    0.000    0.000    0.000 enum_type_wrapper.py:1()
        1    0.000    0.000    0.000    0.000 dataclasses.py:1330(astuple)
        4    0.000    0.000    0.000    0.000 socket.py:495(_real_close)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:97(_close_self_pipe)
        1    0.000    0.000    0.000    0.000 name.py:1()
        4    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        1    0.000    0.000    0.000    0.000 field_mask.py:1()
        1    0.000    0.000    0.000    0.000 selector_events.py:666(_sock_write_done)
        1    0.000    0.000    0.000    0.000 model.py:1825(VoiceAssistantTimerEventType)
        1    0.000    0.000    0.000    0.000 runners.py:15(_State)
       12    0.000    0.000    0.000    0.000 base_events.py:426(create_future)
        1    0.000    0.000    0.000    0.000 sslproto.py:31(AppProtocolState)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 ipaddress.py:28(ip_address)
        1    0.000    0.000    0.000    0.000 model.py:639(ClimateSwingMode)
        2    0.000    0.000    0.000    0.000 {method 'public_bytes' of 'cryptography.hazmat.bindings._rust.openssl.x25519.X25519PublicKey' objects}
        3    0.000    0.000    0.000    0.000 tasks.py:662(_ensure_future)
        1    0.000    0.000    0.000    0.000 hash.py:1()
        2    0.000    0.000    0.000    0.000 __init__.py:882(__init__)
        1    0.000    0.000    0.000    0.000 model.py:1206(UpdateCommand)
        1    0.000    0.000    0.000    0.000 subprocess.py:749(Popen)
        1    0.000    0.000    0.000    0.000 abc.py:14(ResourceReader)
        1    0.000    0.000    0.000    0.000 model.py:276(EntityCategory)
        1    0.000    0.000    0.000    0.000 ssl.py:477(Purpose)
        1    0.000    0.000    0.000    0.000 __init__.py:264(_reset_cache)
        1    0.000    0.000    0.000    0.000 model.py:392(FanSpeed)
        5    0.000    0.000    0.000    0.000 enum.py:1575(unique)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        6    0.000    0.000    0.000    0.000 typing.py:1552(__mro_entries__)
        1    0.000    0.000    0.000    0.000 model.py:35(APIIntEnum)
