Turned OFF
         213968 function calls (208766 primitive calls) in 4.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.006    0.000    0.022    0.000 inspect.py:3215(__str__)
      498    0.002    0.000    0.022    0.000 :392(cached)
       89    0.017    0.000    0.022    0.000 dataclasses.py:1149(_add_slots)
        1    0.000    0.000    0.021    0.021 json_format.py:1()
       10    0.000    0.000    0.021    0.002 argparse.py:2597(_get_formatter)
       10    0.000    0.000    0.021    0.002 argparse.py:164(__init__)
        1    0.000    0.000    0.020    0.020 platform.py:1()
        1    0.000    0.000    0.020    0.020 unix.py:1()
       18    0.009    0.001    0.020    0.001 enum.py:1668(convert_class)
        2    0.000    0.000    0.020    0.010 hashes.py:1()
      276    0.003    0.000    0.020    0.000 :567(_get_cached)
   300/47    0.007    0.000    0.020    0.000 _compiler.py:37(_compile)
      588    0.009    0.000    0.020    0.000 enum.py:367(__setitem__)
       74    0.002    0.000    0.019    0.000 enum.py:484(__prepare__)
      295    0.002    0.000    0.019    0.000 :169(__enter__)
        1    0.000    0.000    0.018    0.018 descriptor.py:1()
      222    0.018    0.000    0.018    0.000 {built-in method io.open_code}
     5565    0.012    0.000    0.018    0.000 {method 'join' of 'str' objects}
      993    0.009    0.000    0.018    0.000 dataclasses.py:664(_is_type)
      223    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
    59/42    0.000    0.000    0.017    0.000 typing.py:500(__getitem__)
        1    0.000    0.000    0.016    0.016 shutil.py:1()
        1    0.000    0.000    0.016    0.016 pickle.py:1()
       42    0.001    0.000    0.015    0.000 typing.py:679(Union)
        1    0.000    0.000    0.015    0.015 pathlib.py:1()
        1    0.000    0.000    0.015    0.015 util.py:330(find_library)
        1    0.000    0.000    0.015    0.015 util.py:273(_findSoname_ldconfig)
        1    0.000    0.000    0.015    0.015 api_implementation.py:1()
       80    0.002    0.000    0.015    0.000 typing.py:1376(__init__)
        6    0.000    0.000    0.015    0.002 client.py:235(connect)
3120/3108    0.009    0.000    0.014    0.000 {built-in method builtins.setattr}
        3    0.002    0.001    0.014    0.005 builder.py:48(BuildTopDescriptorsAndMessages)
      144    0.001    0.000    0.014    0.000 :105(__new__)
        8    0.001    0.000    0.014    0.002 client.py:296(_execute_connection_coro)
      548    0.005    0.000    0.014    0.000 inspect.py:2756(__str__)
      643    0.010    0.000    0.014    0.000 :179(_get_module_lock)
        1    0.000    0.000    0.014    0.014 impl.py:1()
      148    0.001    0.000    0.014    0.000 enum.py:943(_get_mixins_)
      727    0.008    0.000    0.014    0.000 inspect.py:2669(__init__)
      276    0.003    0.000    0.014    0.000 :1602(_get_spec)
        1    0.000    0.000    0.013    0.013 __init__.py:10(default_backend)
        1    0.000    0.000    0.013    0.013 modes.py:1()
        1    0.000    0.000    0.013    0.013 api_implementation.py:41(_CanImport)
     2676    0.010    0.000    0.013    0.000 :128()
        1    0.000    0.000    0.013    0.013 __init__.py:108(import_module)
        1    0.000    0.000    0.013    0.013 _shared.py:1()
      2/1    0.000    0.000    0.013    0.013 :1192(_gcd_import)
    18203    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.013    0.006 subprocess.py:1()
  187/176    0.011    0.000    0.012    0.000 builder.py:57(BuildMessage)
        5    0.000    0.000    0.012    0.002 client.py:283(finish_connection)
     4076    0.006    0.000    0.012    0.000 {built-in method builtins.hasattr}
      408    0.001    0.000    0.012    0.000 :159(_path_isfile)
        1    0.000    0.000    0.012    0.012 events.py:1()
      451    0.002    0.000    0.011    0.000 :150(_path_is_mode_type)
        1    0.000    0.000    0.011    0.011 x25519.py:1()
       13    0.004    0.000    0.011    0.001 enum.py:912()
        2    0.000    0.000    0.011    0.005 client.py:321(list_entities_services)
      570    0.004    0.000    0.011    0.000 dataclasses.py:827(_set_new_attribute)
      148    0.010    0.000    0.011    0.000 enum.py:979(_find_data_type_)
        1    0.000    0.000    0.011    0.011 staggered.py:1()
        2    0.000    0.000    0.011    0.005 client.py:351(device_info_and_list_entities)
      348    0.002    0.000    0.011    0.000 :216(_lock_unlock_module)
      195    0.007    0.000    0.010    0.000 inspect.py:2955(__init__)
      279    0.002    0.000    0.010    0.000 inspect.py:1943(_signature_get_user_defined_method)
        1    0.000    0.000    0.010    0.010 tempfile.py:1()
        1    0.000    0.000    0.010    0.010 reconnect_logic.py:1()
        1    0.000    0.000    0.010    0.010 api_options_pb2.py:1()
        1    0.000    0.000    0.010    0.010 _tzpath.py:1()
       17    0.000    0.000    0.010    0.001 typing.py:723(Optional)
      444    0.005    0.000    0.010    0.000 :132(_path_split)
        1    0.000    0.000    0.010    0.010 _serialization.py:1()
      276    0.006    0.000    0.009    0.000 :778(spec_from_file_location)
        1    0.000    0.000    0.009    0.009 __init__.py:173(search)
      606    0.002    0.000    0.009    0.000 :1424(_path_importer_cache)
       92    0.003    0.000    0.009    0.000 inspect.py:2037(_signature_bound_method)
        1    0.000    0.000    0.008    0.008 unix_events.py:1()
      643    0.007    0.000    0.008    0.000 :125(release)
      643    0.007    0.000    0.008    0.000 :100(acquire)
      122    0.006    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
     1061    0.007    0.000    0.008    0.000 enum.py:828(__setattr__)
        1    0.000    0.000    0.008    0.008 binding.py:1()
        2    0.008    0.004    0.008    0.004 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.008    0.008 ipaddress.py:1()
        1    0.000    0.000    0.008    0.008 text_format.py:1303(Tokenizer)
      295    0.002    0.000    0.008    0.000 :173(__exit__)
        1    0.000    0.000    0.007    0.007 random.py:1()
        2    0.000    0.000    0.007    0.004 algorithms.py:1()
       86    0.001    0.000    0.007    0.000 typing.py:251(_collect_parameters)
      186    0.001    0.000    0.007    0.000 inspect.py:1804(getattr_static)
        1    0.007    0.007    0.007    0.007 pickle.py:1137(_Unpickler)
        1    0.000    0.000    0.007    0.007 __init__.py:454(StrFormatStyle)
        1    0.000    0.000    0.007    0.007 locks.py:1()
       95    0.002    0.000    0.007    0.000 dataclasses.py:228(_recursive_repr)
        1    0.000    0.000    0.007    0.007 _tzpath.py:5(reset_tzpath)
       11    0.003    0.000    0.007    0.001 __init__.py:350(namedtuple)
       40    0.001    0.000    0.007    0.000 :1411(_path_hooks)
        1    0.000    0.000    0.006    0.006 sysconfig.py:709(get_config_var)
      2/1    0.000    0.000    0.006    0.006 sysconfig.py:629(get_config_vars)
        2    0.000    0.000    0.006    0.003 timezone.py:100(get_timezone)
        2    0.000    0.000    0.006    0.003 singleton.py:31(async_wrapped)
        2    0.000    0.000    0.006    0.003 timezone.py:86(get_local_timezone)
        1    0.000    0.000    0.006    0.006 base_events.py:816(run_in_executor)
        1    0.000    0.000    0.006    0.006 sslproto.py:1()
        1    0.000    0.000    0.006    0.006 well_known_types.py:1()
        1    0.000    0.000    0.006    0.006 client.py:186(_fill_object_ids_if_needed)
        1    0.000    0.000    0.006    0.006 object_id.py:107(fill_missing_object_ids)
      950    0.004    0.000    0.006    0.000 enum.py:688(__call__)
       49    0.006    0.000    0.006    0.000 typing.py:1310(__getattr__)
        1    0.000    0.000    0.006    0.006 binding.py:78(init_static_locks)
        2    0.000    0.000    0.006    0.003 binding.py:69(_ensure_ffi_initialized)
     3894    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      222    0.001    0.000    0.006    0.000 :1146(path_stats)
        1    0.001    0.001    0.006    0.006 binding.py:38(build_conditional_library)
      223    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
       60    0.000    0.000    0.006    0.000 :110(register)
        1    0.000    0.000    0.006    0.006 ec.py:1()
      292    0.002    0.000    0.006    0.000 __init__.py:101(find_spec)
       60    0.000    0.000    0.006    0.000 {built-in method _abc._abc_register}
       92    0.001    0.000    0.006    0.000 inspect.py:3023(replace)
        1    0.000    0.000    0.006    0.006 :975(exec_module)
     2852    0.006    0.000    0.006    0.000 :244(_verbose_message)
        1    0.005    0.005    0.006    0.006 ssl.py:1006(SSLSocket)
        1    0.000    0.000    0.005    0.005 :1()
       11    0.001    0.000    0.005    0.000 inspect.py:1332(getfullargspec)
      222    0.003    0.000    0.005    0.000 :642(_classify_pyc)
        1    0.000    0.000    0.005    0.005 symbol_database.py:1()
   398/66    0.000    0.000    0.005    0.000 :121(__subclasscheck__)
        1    0.000    0.000    0.005    0.005 selectors.py:1()
   398/66    0.005    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
      536    0.003    0.000    0.005    0.000 {built-in method builtins.max}
      640    0.003    0.000    0.005    0.000 inspect.py:1437(formatannotation)
      174    0.003    0.000    0.005    0.000 typing.py:168(_type_check)
       25    0.001    0.000    0.005    0.000 typing.py:1586(__getitem__)
        1    0.000    0.000    0.005    0.005 string.py:1()
        1    0.000    0.000    0.005    0.005 scanner.py:1()
     1870    0.004    0.000    0.005    0.000 _parser.py:168(__getitem__)
      589    0.003    0.000    0.005    0.000 typing.py:1320(__setattr__)
        1    0.000    0.000    0.005    0.005 signal.py:1()
        1    0.000    0.000    0.005    0.005 _cipheralgorithm.py:1()
        2    0.000    0.000    0.005    0.002 encoder.py:1()
     1114    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
     1264    0.002    0.000    0.005    0.000 _parser.py:261(get)
       47    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.005    0.005 base64.py:1()
      186    0.001    0.000    0.005    0.000 inspect.py:1774(_check_class)
       40    0.001    0.000    0.005    0.000 :1658(_fill_cache)
        1    0.000    0.000    0.005    0.005 connection.py:100(write_message)
      696    0.001    0.000    0.005    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.005    0.005 state.py:292(write_message)
9020/8699    0.004    0.000    0.005    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.005    0.005 datetime.py:1()
     1464    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.004    0.004 descriptor_pb2.py:1()
